"","CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","QE01_01","QE01_02","QE01_03","QE01_04","QE01_05","QE01_06","QE01_07","SD01","SD02_01","SD03","SD03_09","TC01_01","TC01_02","TC02_01","TC02_02","KV01_01","KV01_02","KV01_03","KV01_04","KV01_05","KV01_06","KV01_07","KV02_01","KV02_02","KV02_03","KV02_04","KV03_01","KV03_02","KV03_03","KV03_04","GR01_CP","GR01","GR02_01","GR02_02","GR02_03","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME"
"11",133,"8FTV19",NA,"base","interview","2018-10-08 08:36:43",5,5,4,7,5,5,7,2,40,9,"Promotion",3,2,4,4,7,7,7,6,4,6,7,3,3,4,3,NA,NA,NA,NA,0,8,2,-1,1,20,78,55,34,179,200,93,73,77,14,823,NA,"2018-10-08 08:50:26",1,0,10,10,0,0,0.59,1
"12",134,"3YDGPL",NA,"base","interview","2018-10-08 08:36:47",6,5,3,5,3,6,4,2,48,8,"",4,5,5,1,7,4,7,7,7,7,7,3,5,7,4,6,6,6,5,0,4,1,-1,-1,28,85,63,35,73,134,81,113,24,10,646,NA,"2018-10-08 08:47:33",1,0,10,10,0,0,0.75,6
"13",135,"GPTMQ8",NA,"base","interview","2018-10-08 08:36:59",2,5,2,6,2,2,2,1,26,8,"",3,5,1,1,4,6,6,3,7,5,4,2,4,2,2,NA,NA,NA,NA,0,9,2,-1,-1,10,60,21,33,163,79,57,84,17,3,527,NA,"2018-10-08 08:45:46",1,0,10,10,0,0,1.09,25
"14",137,"ANWJ9K",NA,"base","interview","2018-10-08 08:37:25",4,2,4,7,5,6,7,1,59,8,"",3,1,1,1,7,7,7,5,6,5,7,1,1,2,1,NA,NA,NA,NA,0,4,1,-1,-1,7,28,34,9,44,29,22,46,26,11,256,NA,"2018-10-08 08:41:41",1,0,10,10,0,0,1.61,34
"15",139,"DLD0PW",NA,"base","interview","2018-10-08 08:38:40",2,1,2,5,5,4,4,1,22,8,"",3,5,5,1,3,4,4,3,3,2,5,1,1,1,1,NA,NA,NA,NA,0,2,1,1,-1,8,63,28,34,155,61,33,62,26,24,494,NA,"2018-10-08 08:46:54",1,0,10,10,0,0,0.88,2
"16",140,"NJO53C",NA,"base","interview","2018-10-08 08:38:52",5,1,4,7,6,7,4,1,55,6,"",3,1,3,3,5,3,7,3,7,3,7,1,1,1,1,5,7,5,4,0,1,1,1,1,16,50,59,22,93,62,70,61,22,18,473,NA,"2018-10-08 08:46:45",1,0,10,10,0,0,0.86,3
"17",141,"3RULY2",NA,"base","interview","2018-10-08 08:39:52",2,3,2,5,2,4,3,1,26,8,"",4,4,5,1,7,7,7,7,7,6,7,1,1,1,1,3,4,3,2,0,4,1,-1,-1,4,27,17,16,12,26,15,31,9,12,169,NA,"2018-10-08 08:42:41",1,0,10,10,0,0,2.02,84
"18",143,"6O1OSX",NA,"base","interview","2018-10-08 08:41:16",4,4,4,7,4,7,7,2,51,8,"",4,5,5,5,7,7,7,7,7,5,7,4,4,5,3,NA,NA,NA,NA,0,8,2,-1,1,3,18,10,14,25,21,19,30,17,4,161,NA,"2018-10-08 08:43:57",1,0,10,10,0,0,2.35,84
"19",145,"2G9JHC",NA,"base","interview","2018-10-08 08:41:51",4,6,4,7,4,4,4,2,60,8,"",4,2,2,4,6,6,7,7,5,6,7,7,7,7,5,NA,4,4,1,0,8,2,-1,1,17,32,37,18,22,41,42,62,15,4,290,NA,"2018-10-08 08:46:41",1,0,10,10,0,0,1.46,44
"20",147,"2QJKEF",NA,"base","interview","2018-10-08 08:41:57",3,3,2,4,3,6,5,1,52,8,"",3,NA,NA,NA,5,3,6,3,3,2,6,1,1,1,1,NA,NA,NA,NA,0,5,1,0,0,4,24,18,NA,10,236,8,126,13,3,442,NA,"2018-10-08 08:49:19",1,0,10,10,0,0,1.94,116
"21",150,"YNIZPK",NA,"base","interview","2018-10-08 08:43:04",6,3,5,7,7,5,7,1,32,7,"",3,NA,NA,NA,2,5,7,6,6,5,7,1,1,1,1,NA,NA,NA,NA,0,5,1,0,0,24,56,37,NA,167,71,16,69,31,31,502,NA,"2018-10-08 08:51:26",1,0,10,10,0,0,0.81,5
"22",151,"W12B7F",NA,"base","interview","2018-10-08 08:43:35",2,5,4,6,3,4,7,2,28,8,"",4,NA,NA,NA,7,6,7,6,6,7,6,6,5,6,4,6,6,5,5,0,5,1,0,0,14,65,75,NA,206,61,10,70,14,42,557,NA,"2018-10-08 08:52:52",1,0,10,10,0,0,0.98,13
"23",152,"TBEDHK",NA,"base","interview","2018-10-08 08:44:22",6,5,6,7,5,7,7,1,59,7,"",4,4,5,5,7,7,7,7,4,5,6,2,4,2,4,NA,NA,NA,NA,0,6,2,1,1,5,68,28,53,152,71,54,69,16,17,533,NA,"2018-10-08 08:53:15",1,0,10,10,0,0,0.95,8
"24",155,"V3GE89",NA,"base","interview","2018-10-08 08:46:05",6,2,4,7,6,6,4,1,40,7,"",4,NA,NA,NA,7,7,7,7,7,5,7,1,1,1,7,NA,NA,NA,NA,0,5,1,0,0,30,51,42,NA,174,48,6,42,17,9,419,NA,"2018-10-08 08:53:04",1,0,10,10,0,0,1.21,29
"25",157,"72Q7CN",NA,"base","interview","2018-10-08 08:46:25",6,5,4,7,5,6,7,2,38,8,"",4,4,4,4,6,6,7,6,5,5,6,5,6,6,6,5,5,6,5,0,1,1,1,1,5,32,64,38,89,35,32,48,11,2,356,NA,"2018-10-08 08:52:21",1,0,10,10,0,0,1.44,51
"26",158,"SRYWMR",NA,"base","interview","2018-10-08 08:46:28",4,1,3,6,1,4,5,1,24,7,"",5,1,3,3,7,7,7,7,7,7,7,1,1,1,1,NA,NA,NA,NA,0,1,1,1,1,15,43,25,19,80,50,31,77,18,28,386,NA,"2018-10-08 08:52:54",1,0,10,10,0,0,1.04,7
"27",159,"961OM7",NA,"base","interview","2018-10-08 08:46:46",7,4,4,6,4,5,7,1,21,7,"",4,4,5,5,6,5,7,6,7,5,6,2,2,2,2,NA,NA,NA,NA,0,6,2,1,1,3,43,26,37,135,50,37,42,20,16,409,NA,"2018-10-08 08:53:35",1,0,10,10,0,0,1.19,16
"28",160,"QP7GV8",NA,"base","interview","2018-10-08 08:46:52",1,1,2,5,6,7,6,2,33,8,"",3,2,3,3,3,1,1,1,1,1,5,1,3,1,3,NA,NA,NA,NA,0,6,2,1,1,13,46,19,43,158,49,43,41,34,26,472,NA,"2018-10-08 08:54:44",1,0,10,10,0,0,0.91,5
"29",161,"4SBU1E",NA,"base","interview","2018-10-08 08:46:53",6,6,6,6,6,6,6,2,55,8,"",5,NA,NA,NA,6,6,6,5,3,4,6,2,2,3,2,NA,NA,NA,NA,0,5,1,0,0,73,52,28,NA,127,38,10,49,16,2,333,NA,"2018-10-08 08:53:28",1,0,10,10,0,0,1.4,54
"30",162,"1OEBJ8",NA,"base","interview","2018-10-08 08:48:06",2,3,2,7,2,6,7,NA,39,8,"",5,5,4,4,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,0,6,2,1,1,3,21,106,39,122,70,41,71,25,3,501,NA,"2018-10-08 08:56:27",1,0,10,10,0,0,1.31,40
"31",163,"4I8U4P",NA,"base","interview","2018-10-08 08:48:07",5,5,6,7,6,6,7,1,38,8,"",4,NA,NA,NA,6,6,7,5,6,4,6,1,1,1,1,NA,NA,NA,NA,0,5,1,0,0,2,38,16,NA,114,31,4,47,16,15,283,NA,"2018-10-08 08:52:50",1,0,10,10,0,0,1.68,73
"32",164,"D5402L",NA,"base","interview","2018-10-08 08:48:12",6,6,6,7,7,7,7,1,33,8,"",4,4,5,5,5,3,7,5,2,4,5,1,1,1,1,NA,NA,NA,NA,0,6,2,1,1,3,22,9,31,131,24,20,41,11,11,303,NA,"2018-10-08 08:53:15",1,0,10,10,0,0,1.79,46
"33",166,"V3NTYK",NA,"base","interview","2018-10-08 08:48:25",7,7,7,7,7,7,7,1,45,7,"",5,5,5,5,7,7,7,7,7,7,7,4,5,2,1,NA,NA,NA,NA,0,6,2,1,1,10,52,81,31,90,50,53,99,27,24,517,NA,"2018-10-08 08:57:02",1,0,10,10,0,0,0.81,2
"34",167,"X4SE65",NA,"base","interview","2018-10-08 08:48:34",3,3,6,2,4,5,6,2,32,8,"",4,NA,NA,NA,1,2,2,6,6,6,2,1,1,1,1,NA,NA,NA,NA,0,5,1,0,0,19,31,16,NA,84,27,8,46,16,2,249,NA,"2018-10-08 08:52:43",1,0,10,10,0,0,1.72,70
"35",168,"WL1CO3",NA,"base","interview","2018-10-08 08:48:41",6,6,6,6,5,7,7,2,50,8,"",4,NA,NA,NA,6,6,7,7,7,3,7,2,1,1,1,6,5,6,5,0,5,1,0,0,5,33,39,NA,26,27,4,55,10,9,208,NA,"2018-10-08 08:52:09",1,0,10,10,0,0,1.87,78
"36",169,"HH6JXO",NA,"base","interview","2018-10-08 08:48:49",5,6,3,5,4,6,4,2,27,8,"",5,5,5,5,7,7,7,7,7,4,7,2,4,2,3,NA,NA,NA,NA,0,6,2,1,1,6,30,17,23,75,59,24,52,9,11,306,NA,"2018-10-08 08:53:55",1,0,10,10,0,0,1.48,25
"37",170,"BQ7VQO",NA,"base","interview","2018-10-08 08:49:19",5,7,5,7,7,7,7,1,42,7,"",3,3,4,5,7,7,7,7,7,7,7,5,5,5,5,NA,NA,NA,NA,0,6,2,1,1,14,33,25,28,122,64,26,40,22,13,387,NA,"2018-10-08 08:55:46",1,0,10,10,0,0,1.08,7
"38",172,"179VRP",NA,"base","interview","2018-10-08 08:50:19",7,7,4,6,6,5,7,2,24,9,"Bachelor",4,4,5,5,7,7,7,7,7,4,7,2,2,2,2,NA,NA,NA,NA,0,6,2,1,1,6,40,28,39,181,64,32,41,32,21,484,NA,"2018-10-08 08:58:23",1,0,10,10,0,0,0.98,7
"39",173,"BZGWJ7",NA,"base","interview","2018-10-08 08:50:46",5,5,5,7,6,6,5,1,32,9,"Promotion",4,4,4,4,7,7,7,7,7,4,7,3,3,5,4,NA,NA,NA,NA,0,6,2,1,1,5,20,18,38,112,33,24,31,18,13,312,NA,"2018-10-08 08:55:58",1,0,10,10,0,0,1.47,25
"40",174,"9CSV3Q",NA,"base","interview","2018-10-08 08:51:17",6,4,4,5,5,6,4,1,37,7,"",4,4,4,4,5,6,5,4,5,6,6,1,1,1,1,NA,NA,NA,NA,0,6,2,1,1,19,27,29,24,121,35,25,35,44,22,381,NA,"2018-10-08 08:57:38",1,0,10,10,0,0,1.08,10
"41",175,"HZ3MX0",NA,"base","interview","2018-10-08 08:51:33",4,5,2,6,4,4,5,1,29,8,"",3,4,4,4,5,4,6,5,5,3,5,1,3,2,4,4,4,4,3,0,6,2,1,1,7,67,43,30,123,82,40,63,15,26,496,NA,"2018-10-08 08:59:49",1,0,10,10,0,0,0.9,5
"42",176,"A1MNTD",NA,"base","interview","2018-10-08 08:51:38",7,6,6,7,5,5,5,2,38,7,"",4,3,4,5,5,5,6,6,6,3,5,1,1,1,1,NA,NA,NA,NA,0,6,2,1,1,9,252,15,30,549,28,21,37,15,9,757,NA,"2018-10-08 09:07:43",1,0,10,10,0,0,1.24,20
"43",178,"LO8DHQ",NA,"base","interview","2018-10-08 08:52:21",7,4,4,7,5,6,6,1,29,8,"",4,4,5,5,4,6,7,6,4,4,7,3,3,5,4,3,4,4,3,0,6,2,1,1,7,42,73,23,107,32,26,40,18,12,380,NA,"2018-10-08 08:58:41",1,0,10,10,0,0,1.19,12
"44",179,"BG4VJZ",NA,"base","interview","2018-10-08 08:52:39",6,6,4,7,5,6,6,2,34,9,"Promotion",4,4,4,5,6,6,7,7,7,6,7,2,4,2,2,NA,NA,NA,NA,0,6,2,1,1,168,46,22,39,120,38,28,70,21,12,407,NA,"2018-10-08 09:02:03",1,0,10,10,0,0,0.95,5
"45",180,"R3QZ77",NA,"base","interview","2018-10-08 08:53:22",7,7,1,5,6,7,7,1,58,5,"",4,4,2,2,3,7,6,4,5,4,6,3,3,3,1,5,6,6,6,1,7,2,1,-1,24,77,72,60,164,64,44,108,32,32,677,NA,"2018-10-08 09:04:39",1,0,10,10,0,0,0.57,0
"46",181,"HNM6ZP",NA,"base","interview","2018-10-08 08:53:58",4,4,3,6,3,4,5,1,28,9,"abgeschlossene Berufsausbildung",4,4,2,1,6,7,7,6,3,6,2,3,1,4,2,NA,NA,NA,NA,1,7,2,1,-1,14,51,37,53,253,72,44,63,41,13,641,NA,"2018-10-08 09:04:39",1,0,10,10,0,0,0.74,1
"47",182,"LORMFK",NA,"base","interview","2018-10-08 08:54:47",7,7,7,7,7,7,5,1,25,7,"",4,5,4,1,4,3,5,3,5,5,5,2,2,4,1,NA,NA,NA,NA,1,7,2,1,-1,33,41,31,54,39,36,22,48,26,14,344,NA,"2018-10-08 09:00:31",1,0,10,10,0,0,1.16,15
"48",183,"QRBAQF",NA,"base","interview","2018-10-08 08:55:01",6,6,5,6,5,7,7,1,34,8,"",4,3,4,5,5,5,2,4,5,5,7,1,1,1,1,6,5,6,NA,1,3,1,-1,1,18,60,71,30,149,55,42,91,27,20,563,NA,"2018-10-08 09:04:24",1,0,10,10,0,0,0.73,0
"49",184,"A5TLR5",NA,"base","interview","2018-10-08 08:55:47",3,4,3,4,4,4,6,1,42,8,"",3,4,4,1,4,3,6,5,5,4,6,1,2,2,1,6,6,6,5,1,7,2,1,-1,7,39,45,29,67,46,31,66,22,4,356,NA,"2018-10-08 09:01:43",1,0,10,10,0,0,1.29,23
"50",185,"66TVAQ",NA,"base","interview","2018-10-08 08:56:48",4,1,2,6,3,1,4,1,28,8,"",3,5,5,1,6,6,6,6,7,6,6,2,2,2,1,NA,NA,NA,NA,1,7,2,1,-1,7,25,27,68,170,28,22,34,30,27,438,NA,"2018-10-08 09:04:06",1,0,10,10,0,0,1.15,16
"51",186,"57OC6W",NA,"base","interview","2018-10-08 08:57:42",7,5,5,5,6,5,7,2,47,8,"",4,4,4,4,7,7,7,7,7,7,5,1,1,3,3,NA,NA,NA,NA,1,3,1,-1,1,5,24,15,14,21,66,26,38,11,3,223,NA,"2018-10-08 09:01:25",1,0,10,10,0,0,1.94,73
"52",187,"092E17",NA,"base","interview","2018-10-08 08:57:55",7,7,6,7,7,7,7,2,63,7,"",5,5,5,1,6,7,7,7,7,4,7,2,6,4,3,6,6,6,5,1,7,2,1,-1,3,23,32,40,86,25,27,46,18,19,319,NA,"2018-10-08 09:03:14",1,0,10,10,0,0,1.41,26
"53",189,"4IV6A7",NA,"base","interview","2018-10-08 08:58:32",6,5,5,5,5,6,5,2,28,7,"",4,1,4,5,7,6,2,4,7,6,6,1,1,1,1,4,4,4,4,1,3,1,-1,1,120,31,17,90,104,27,17,36,15,29,377,NA,"2018-10-08 09:06:38",1,0,10,10,0,0,1.17,18
"54",190,"HK16EJ",NA,"base","interview","2018-10-08 08:58:42",6,6,5,7,6,5,6,2,68,8,"",2,1,4,3,3,5,7,6,6,6,5,1,3,1,1,NA,NA,NA,NA,1,3,1,-1,1,14,66,43,11,40,37,284235,34,15,3,293,NA,"2018-10-11 16:00:20",1,0,10,10,0,0,1.51,46
"55",192,"0VILEK",NA,"base","interview","2018-10-08 08:58:50",2,2,2,6,3,3,3,1,31,5,"",3,4,2,5,6,6,6,6,6,4,6,2,2,1,1,NA,NA,NA,NA,1,3,1,-1,1,38,63,37,43,234,80,48,128,21,12,704,NA,"2018-10-08 09:10:35",1,0,10,10,0,0,0.7,2
"56",193,"2CN7BK",NA,"base","interview","2018-10-08 08:59:25",4,7,1,6,1,4,4,1,74,8,"",3,3,3,2,7,7,7,6,6,3,7,6,6,6,4,NA,NA,NA,NA,1,7,2,1,-1,20,85,30,54,74,72,54,68,53,20,530,NA,"2018-10-08 09:08:15",1,0,10,10,0,0,0.74,3
"57",194,"I9FJPS",NA,"base","interview","2018-10-08 09:00:26",6,6,5,7,7,6,7,1,42,8,"",4,2,2,1,6,6,6,4,5,7,6,2,3,2,4,NA,NA,NA,NA,1,7,2,1,-1,10,40,16,43,183,53,33,53,9,14,454,NA,"2018-10-08 09:08:00",1,0,10,10,0,0,1.17,13
"58",195,"GF0WGU",NA,"base","interview","2018-10-08 09:00:36",1,1,1,1,1,5,4,2,43,8,"",4,4,5,5,2,6,7,7,7,6,7,1,1,1,1,NA,NA,NA,NA,1,3,1,-1,1,6,33,20,19,58,35,17,57,10,15,270,NA,"2018-10-08 09:05:06",1,0,10,10,0,0,1.55,28
"59",196,"SIFXKH",NA,"base","interview","2018-10-08 09:00:39",4,1,3,6,2,5,5,1,67,7,"",4,5,2,4,7,7,7,7,7,4,7,1,1,2,1,NA,NA,NA,NA,1,3,1,-1,1,27,42,28,32,102,56,37,39,21,14,398,NA,"2018-10-08 09:07:17",1,0,10,10,0,0,0.98,4
"60",197,"75JLCS",NA,"base","interview","2018-10-08 09:00:44",6,6,6,6,6,6,6,2,54,7,"",4,4,4,4,6,6,7,7,2,4,6,4,6,5,4,NA,NA,NA,NA,1,3,1,-1,1,6,31,25,10,58,25,23,54,25,19,276,NA,"2018-10-08 09:05:20",1,0,10,10,0,0,1.53,29
"61",198,"ERD258",NA,"base","interview","2018-10-08 09:01:42",4,5,2,6,6,6,6,2,45,8,"",3,NA,NA,NA,6,6,6,6,4,5,6,1,1,2,2,7,6,7,6,2,10,2,0,0,10,27,26,NA,160,54,14,73,18,15,397,NA,"2018-10-08 09:08:19",1,0,10,10,0,0,1.17,12
"62",200,"BU0YN5",NA,"base","interview","2018-10-08 09:02:23",6,4,6,7,6,6,6,2,77,6,"",3,3,4,4,4,3,6,6,3,2,5,2,2,2,1,NA,5,5,NA,2,3,1,-1,1,10,71,66,32,108,75,40,91,19,19,531,NA,"2018-10-08 09:11:14",1,0,10,10,0,0,0.81,1
"63",202,"B5VSRE",NA,"base","interview","2018-10-08 09:03:01",6,6,6,7,7,7,7,1,64,8,"",5,5,5,5,4,3,6,6,2,2,2,2,4,4,4,NA,NA,NA,NA,2,3,1,-1,1,21,72,48,38,148,59,41,144,29,34,634,NA,"2018-10-08 09:13:35",1,0,10,10,0,0,0.64,0
"64",203,"NSP2AR",NA,"base","interview","2018-10-08 09:03:49",7,7,7,7,7,7,7,2,56,6,"",4,5,4,5,7,7,7,7,7,7,7,1,1,1,1,6,6,7,4,2,3,1,-1,1,3,25,16,28,41,20,22,31,8,19,213,NA,"2018-10-08 09:07:23",1,0,10,10,0,0,1.94,51
"65",207,"F28Y34",NA,"base","interview","2018-10-08 09:04:53",7,5,7,6,7,7,7,2,19,7,"",4,4,5,1,4,5,6,3,5,5,5,3,6,3,3,NA,NA,NA,NA,2,2,1,1,-1,87,88,50,62,384,118,57,175,27,14,986,NA,"2018-10-08 09:22:35",1,0,10,10,0,0,0.52,1
"66",208,"8ORGIS",NA,"base","interview","2018-10-08 09:05:28",6,5,6,7,7,7,7,2,22,7,"",5,4,5,1,7,7,7,7,7,3,7,1,1,1,1,NA,NA,NA,NA,2,2,1,1,-1,6,23,16,28,101,41,28,22,8,36,309,NA,"2018-10-08 09:10:37",1,0,10,10,0,0,1.55,31
"67",209,"SACIRB",NA,"base","interview","2018-10-08 09:07:14",7,5,6,6,6,6,6,2,43,8,"",4,2,3,2,6,3,6,5,3,3,3,5,3,4,2,5,6,1,1,2,2,1,1,-1,12,38,20,25,74,27,34,46,18,2,296,NA,"2018-10-08 09:12:10",1,0,10,10,0,0,1.43,48
"68",211,"64N488",NA,"base","interview","2018-10-08 09:07:38",7,7,6,7,7,6,7,1,76,7,"",3,NA,NA,NA,5,7,7,5,4,2,7,2,1,4,1,NA,NA,NA,NA,2,10,2,0,0,3,39,25,NA,95,36,11,66,29,16,320,NA,"2018-10-08 09:12:58",1,0,10,10,0,0,1.46,29
"69",212,"46DMH9",NA,"base","interview","2018-10-08 09:08:17",4,5,5,6,4,6,6,2,53,7,"",2,1,4,2,5,6,7,3,7,2,5,3,5,4,3,6,7,7,5,2,2,1,1,-1,8,97,16,29,8,31,29,54,21,28,321,NA,"2018-10-08 09:13:38",1,0,10,10,0,0,1.29,60
"70",213,"BFCEQB",NA,"base","interview","2018-10-08 09:08:30",7,7,5,7,3,6,6,1,43,8,"",4,4,5,1,5,6,7,6,6,3,6,1,1,1,1,6,6,6,6,2,2,1,1,-1,29,53,54,35,158,59,35,69,48,19,559,NA,"2018-10-08 09:17:49",1,0,10,10,0,0,0.71,0
"71",214,"O1QT8H",NA,"base","interview","2018-10-08 09:09:49",5,4,4,5,4,5,6,2,58,8,"",3,3,4,1,5,5,6,3,3,4,4,1,1,1,1,NA,NA,NA,NA,2,2,1,1,-1,2,39,8,34,112,34,24,69,11,3,336,NA,"2018-10-08 09:15:25",1,0,10,10,0,0,1.73,67
"72",216,"TS7H2L",NA,"base","interview","2018-10-08 09:10:57",3,3,4,5,2,6,4,2,27,5,"",3,4,2,1,5,6,6,1,4,2,5,1,1,1,1,6,5,6,5,3,2,1,1,-1,5,31,23,26,126,36,30,46,20,9,352,NA,"2018-10-08 09:16:49",1,0,10,10,0,0,1.33,17
"73",217,"L7D53C",NA,"base","interview","2018-10-08 09:12:02",7,4,4,7,4,7,4,1,36,5,"",4,5,1,1,5,4,7,5,5,4,7,1,1,1,1,NA,NA,NA,NA,3,2,1,1,-1,11,134,31,57,176,60,39,57,31,28,624,NA,"2018-10-08 09:22:26",1,0,10,10,0,0,0.72,0
"74",218,"23EYR1",NA,"base","interview","2018-10-08 09:12:18",7,5,5,7,7,7,7,1,23,8,"",5,5,5,5,3,5,5,1,4,6,4,1,1,1,1,6,6,5,3,3,1,1,1,1,19,56,29,26,115,52,23,38,27,18,403,NA,"2018-10-08 09:19:01",1,0,10,10,0,0,0.99,5
"75",219,"39YJZ2",NA,"base","interview","2018-10-08 09:12:20",3,7,3,7,6,7,7,2,48,6,"",3,2,3,3,6,2,7,7,7,4,7,1,1,1,1,NA,NA,NA,NA,3,1,1,1,1,27,63,63,54,196,110,233,92,26,4,665,NA,"2018-10-08 09:26:48",1,0,10,10,0,0,0.77,15
"76",220,"KS07BF",NA,"base","interview","2018-10-08 09:15:57",3,3,3,6,3,4,4,2,33,6,"",4,4,3,4,5,5,6,6,4,5,5,1,4,1,2,NA,NA,NA,NA,3,1,1,1,1,26,29,22,33,93,34,22,39,16,21,335,NA,"2018-10-08 09:21:32",1,0,10,10,0,0,1.17,13
"77",223,"PMRHKK",NA,"base","interview","2018-10-08 09:18:00",5,4,5,6,5,5,5,1,52,5,"",3,3,3,3,4,5,6,4,5,2,3,2,2,3,3,4,4,4,4,3,1,1,1,1,25,81,19,21,13,32,29,40,17,13,290,NA,"2018-10-08 09:22:50",1,0,10,10,0,0,1.34,51
"78",224,"M4KYIB",NA,"base","interview","2018-10-08 09:18:41",4,5,4,4,3,2,4,2,59,8,"",4,4,3,2,5,5,7,6,6,4,4,4,5,5,5,6,6,6,4,3,9,2,-1,-1,14,39,38,26,131,39,50,50,28,18,433,NA,"2018-10-08 09:25:54",1,0,10,10,0,0,0.93,3
"79",225,"SLML6G",NA,"base","interview","2018-10-08 09:18:45",5,3,2,5,4,4,5,1,39,8,"",5,2,2,2,6,6,7,6,6,5,5,5,4,4,4,NA,NA,NA,NA,3,9,2,-1,-1,11,58,49,11,148,73,46,68,20,50,534,NA,"2018-10-08 09:27:39",1,0,10,10,0,0,0.94,9
