post_id,coder_id,type,n_pictures,pop_elite,pop_people,pop_othering
13,4,photo,1,0,0,0
13,5,photo,1,0,0,0
13,6,photo,1,0,0,0
14,1,photo,1,0,0,0
14,2,photo,1,0,0,0
14,3,photo,1,0,0,0
14,4,photo,1,0,0,0
14,5,photo,1,0,0,0
14,6,photo,1,0,0,0
15,1,photo,1,0,0,0
15,2,photo,1,0,0,0
15,3,photo,1,0,0,0
15,4,photo,1,0,0,0
15,5,photo,1,0,0,0
15,6,photo,1,0,0,0
16,1,photo,1,0,0,0
16,2,photo,11,0,0,0
16,3,photo,11,0,0,0
16,4,photo,11,0,0,0
16,5,photo,4,0,0,0
16,6,photo,12,0,0,0
17,1,photo,1,3,0,0
17,2,photo,1,0,0,0
17,3,photo,1,0,0,0
17,4,photo,1,0,0,0
17,5,photo,1,1,0,0
17,6,photo,1,0,0,1
18,1,video,0,0,0,0
18,2,video,0,1,0,0
18,3,video,0,1,0,0
18,4,video,0,0,0,0
18,5,video,1,0,0,0
18,6,video,0,1,0,0
19,1,video,0,0,0,0
19,2,video,0,0,0,0
19,3,video,0,0,0,0
19,4,video,0,0,0,0
19,5,video,0,0,0,0
19,6,video,0,0,0,0
20,1,photo,2,0,0,0
20,2,photo,1,0,0,0
20,3,photo,2,0,0,0
20,4,photo,2,0,0,0
20,5,photo,2,0,0,0
20,6,photo,2,0,0,0
21,1,photo,1,0,0,0
21,2,photo,1,0,0,0
21,3,photo,1,0,0,0
21,4,photo,1,0,0,0
21,5,photo,1,0,0,0
21,6,photo,1,0,0,0
22,1,video,0,0,0,0
22,2,video,0,0,0,0
22,3,video,0,0,0,0
22,4,video,0,0,0,0
22,5,video,0,0,0,0
22,6,video,0,0,0,0
23,1,video,0,0,0,0
23,2,video,0,0,0,0
23,3,video,0,0,0,0
23,4,video,0,0,0,0
23,5,video,0,0,0,0
23,6,video,0,0,0,0
24,1,photo,1,0,0,0
24,2,photo,0,0,0,0
24,3,photo,1,0,0,0
24,4,photo,1,0,0,0
24,5,photo,1,0,0,0
24,6,photo,1,0,0,0
25,1,video,0,0,0,0
25,2,video,0,0,0,0
25,3,video,0,0,0,0
25,4,video,0,0,0,0
25,5,video,0,0,0,0
25,6,video,0,0,0,0
26,1,video,0,0,0,0
26,2,video,0,0,0,0
26,3,video,0,0,0,0
26,4,video,0,0,0,0
26,5,video,0,0,0,0
26,6,video,0,0,0,0
27,1,link,1,1,0,0
27,2,link,0,0,0,0
27,3,link,1,1,0,0
27,4,link,1,0,0,0
27,5,link,1,0,0,0
27,6,link,1,0,0,0
28,1,video,0,0,1,1
28,2,video,0,1,1,1
28,3,video,0,1,1,1
28,4,video,0,0,0,0
28,5,video,0,0,1,0
28,6,video,0,1,1,1
29,1,photo,1,0,0,0
29,2,photo,1,0,0,0
29,3,photo,1,0,0,0
29,4,photo,1,0,0,0
29,5,photo,1,0,0,0
29,6,photo,1,0,0,0
30,1,photo,3,0,0,0
30,2,photo,3,0,0,0
30,3,photo,3,0,0,0
30,4,photo,3,0,0,0
30,5,photo,3,0,0,0
30,6,photo,3,0,0,0
31,1,photo,3,0,0,0
31,2,photo,3,0,0,0
31,3,photo,3,0,0,0
31,4,photo,3,0,0,0
31,5,photo,3,0,0,0
31,6,photo,3,0,0,0
32,1,photo,1,4,0,0
32,2,photo,1,0,0,0
32,3,photo,1,0,0,0
32,4,photo,1,0,0,0
32,5,photo,1,0,0,0
32,6,photo,1,0,0,0
33,1,photo,1,9,0,0
33,2,photo,1,0,0,0
33,3,photo,1,1,1,0
33,4,photo,1,1,0,0
33,5,photo,1,9,0,0
33,6,photo,1,3,0,0
34,1,photo,1,0,0,0
34,2,photo,1,0,0,0
34,3,photo,1,1,0,0
34,4,photo,1,0,0,0
34,5,photo,1,0,0,0
34,6,photo,1,0,0,0
35,1,video,0,1,0,0
35,2,video,0,1,0,0
35,3,video,0,1,0,0
35,4,video,0,0,0,0
35,5,video,0,0,0,0
35,6,video,0,0,0,0
36,1,link,1,0,0,0
36,2,link,0,1,0,0
36,3,link,1,1,1,0
36,4,link,1,1,0,0
36,5,link,1,0,0,0
36,6,link,1,0,0,0
37,1,photo,1,0,0,0
37,2,photo,1,0,0,0
37,3,photo,1,0,0,0
37,4,photo,1,0,0,0
37,5,photo,1,0,0,0
37,6,photo,1,0,0,0
38,1,video,0,0,0,1
38,2,video,0,0,0,0
38,3,video,0,0,0,1
38,4,video,0,0,0,1
38,5,video,0,1,0,1
38,6,video,0,1,1,1
39,1,photo,1,2,0,1
39,2,photo,1,2,0,1
39,3,photo,1,2,0,1
39,4,photo,1,0,0,0
39,5,photo,1,2,0,1
39,6,photo,1,2,0,1
40,1,video,0,0,0,0
40,2,video,0,0,0,0
40,3,video,0,0,0,0
40,4,video,0,0,0,0
40,5,video,0,0,0,0
40,6,video,0,0,0,0
41,1,video,0,0,0,0
41,2,video,0,0,0,0
41,3,video,0,0,0,0
41,4,video,0,0,0,0
41,5,video,0,0,0,0
41,6,video,0,0,0,0
42,1,photo,1,1,0,0
42,2,photo,1,0,0,2
42,3,photo,1,0,1,3
42,4,photo,1,0,0,0
42,5,photo,1,0,0,0
42,6,photo,1,0,0,0
43,1,photo,1,0,1,0
43,2,photo,1,0,0,0
43,3,photo,1,0,1,0
43,4,photo,1,0,0,0
43,5,photo,1,0,0,0
43,6,photo,1,0,1,0
44,1,video,0,0,0,0
44,2,video,0,0,0,0
44,3,video,0,0,0,0
44,4,video,0,0,0,0
44,5,video,0,0,0,0
44,6,video,0,0,0,0
45,1,video,0,0,0,0
45,2,video,0,0,0,0
45,3,video,0,0,1,0
45,4,video,0,0,0,0
45,5,video,0,0,0,0
45,6,video,0,0,0,0
